File,channel,HR,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_DFA_alpha2,HRV_MFDFA_alpha2_Width,HRV_MFDFA_alpha2_Peak,HRV_MFDFA_alpha2_Mean,HRV_MFDFA_alpha2_Max,HRV_MFDFA_alpha2_Delta,HRV_MFDFA_alpha2_Asymmetry,HRV_MFDFA_alpha2_Fluctuation,HRV_MFDFA_alpha2_Increment,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSEn,HRV_CMSEn,HRV_RCMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC
high3.csv,LA_RA,78.00363482615917,769.4116709183673,25.501212007932068,,,,,,,24.571432907847615,24.81016632292235,0.033143781114593575,0.031935352473298505,769.53125,23.165625,0.030103553299492384,31.25,1.037839840418403,745.3125,789.84375,2.0408163265306123,51.02040816326531,720.703125,828.125,7.0,62.5,,,0.01196092069113842,0.09254767031090416,0.0019658117539311337,0.10647440275597372,0.12924064593908163,0.11233611442321385,0.869201121728873,-2.380031412500913,17.543436849304502,31.192144310826762,0.5624312543083225,1719.1342074604029,1.777995074668813,3.942279891991681,221.83791581203525,0.42857142857142855,0.4347826086956522,0.55,0.0,52.465483234714014,52.54663720104863,52.3851289727736,43.47826086956522,0.4343819928919309,0.5656180071080691,11.572390554890557,13.205315721406585,0.6105467266655602,0.3894532733344397,24.372758488277903,19.465829301098903,0.5681571293769857,0.43184287062301424,19.07814953661443,16.63278199342414,0.8699093327540866,1.4085770311201737,1.0310343159985578,1.4373732643976045,-0.8783660220628757,-1.5526432930728635,-0.21152522054409417,0.0008051748698541701,0.13675708888336394,,,,,,,,,,0.24316991781648323,2.3978952727983707,4.726755252190169,1.399068912311172,0.0,0.0,0.0,2.1543852268823596,1.870889265287077,2.3725332897830493,1.2604450670462712
high3.csv,LL_LA,78.00312157724962,769.4116709183673,25.878624222327307,,,,,,,25.1405579333125,25.38579633700486,0.0336343016365201,0.03267504105221696,769.53125,23.165625,0.030103553299492384,33.203125,1.0293575938518387,746.484375,789.0625,2.0408163265306123,48.97959183673469,720.703125,828.125,7.0,62.5,,,0.011246865771397337,0.09182255484183834,0.002041246447511279,0.10511066706074695,0.12248478373063931,0.1070002320972561,0.8735797936547298,-2.387897316089013,17.950468735716754,31.592889008545033,0.5681806665690381,1781.6197078196055,1.7600035672429777,3.9577851180683554,222.4143894182029,0.4489795918367347,0.4444444444444444,0.55,0.0625,52.39923224568138,52.47735900049586,52.32182507681388,42.22222222222222,0.44121715076071916,0.5587828492392807,11.933224094437561,13.429292628999212,0.6427968216045675,0.35720317839543253,25.329475801331714,18.881956771902576,0.5935414403714686,0.4064585596285313,19.79879013548952,16.384050049534302,0.8564143365038609,1.0549000319824646,0.9981127693218311,1.2442067614936834,-0.40122553694880914,-1.070305792461916,-0.2667134470463804,0.00023052102071124218,0.06551238527250526,,,,,,,,,,0.25577116301665503,inf,4.499828405684786,1.4199644279062567,,,,2.431446947498911,1.8799211142768746,2.412812593206566,1.2604450670462712
high3.csv,LL_RA,78.00382087832284,769.4116709183673,25.57278955099976,,,,,,,24.7583151056391,24.999186996334885,0.03323681004276444,0.0321782422095153,769.53125,23.165625,0.030103553299492384,31.25,1.032897006193089,745.3125,789.84375,2.0408163265306123,51.02040816326531,720.703125,828.125,7.0,62.5,,,0.011885511719185903,0.09259872855169916,0.0021423127591158934,0.10662655303000096,0.12835502069070048,0.11146859184167511,0.868439670235285,-2.379479867967474,17.677094649258954,31.236347977030697,0.5659142567581079,1734.686554373435,1.7670521427196275,3.9461911222276393,220.78502249419196,0.4489795918367347,0.4444444444444444,0.55,0.0625,52.455795677799614,52.53679575943598,52.375581182438836,42.22222222222222,0.43109036691300384,0.5689096330869959,11.616142660110249,13.344411373688963,0.6380306559664998,0.3619693440335002,24.950601812558414,18.793001466857483,0.5877682962044988,0.41223170379550134,19.461080405631087,16.298009372980903,0.8684125069381993,1.4082215177219082,1.0274869267053677,1.4390569530108315,-0.8856680718209518,-1.5672228728945417,-0.20773772369899296,0.0008284933179923643,0.137720703137713,,,,,,,,,,0.24378440999783058,inf,4.75216571132969,1.390612264216599,,,,2.1878498304900282,1.8726856794003117,2.3782717438905085,1.2604450670462712
high3.csv,Vx_RL,77.99922654029197,769.4515306122449,25.69231568177813,,,,,,,24.87679960300271,25.119026047535925,0.033390427674287695,0.03233056094281662,769.53125,26.061328125,0.033866497461928935,33.203125,1.0327821943252293,746.484375,789.84375,2.0408163265306123,48.97959183673469,722.65625,828.125,7.0,62.5,,,0.011524943191997641,0.09202433651556713,0.0021664624630067146,0.10571574217057148,0.12523799277866074,0.10901823092158064,0.8704884875810324,-2.3857022095711646,17.761833655014172,31.444821547771678,0.5648571936727322,1754.6350706827882,1.7703589707301866,3.9511569155108344,222.67448764042985,0.4489795918367347,0.4318181818181818,0.5263157894736842,0.0625,52.43664717348927,52.512503951992215,52.36132075086566,38.63636363636363,0.43084628226531396,0.569153717734686,11.66842863774591,13.411149014370032,0.671028520414518,0.32897147958548206,25.75844394720192,18.03550297579924,0.6128579462556845,0.38714205374431565,19.99562028864461,15.892424067392954,0.8653751408988015,1.271182350266021,1.0108815858429965,1.3626695069926673,-0.7977212698740299,-1.4678955584004605,-0.22325927820186303,0.0004362478964791081,0.1000414853970158,,,,,,,,,,0.24316991781648323,2.3978952727983702,4.859208823530435,1.4044589450898906,0.0,0.0,0.0,2.2809079687000713,1.874392420808283,2.4176615781704376,1.375030982232296
high4.csv,LA_RA,74.55426951796377,805.0321691176471,32.38441555469832,,,,,,,33.11211737531633,33.362010764459136,0.040227480089638105,0.04113142138358118,806.640625,33.300585937499996,0.04128305084745762,50.29296875,0.9780230961261185,773.4375,832.03125,11.76470588235294,61.76470588235294,744.140625,875.0,8.5,101.5625,,,0.008927632393275039,0.07346187526127902,0.0008032973424253642,0.08319280499697942,0.12152742305478144,0.10731255417579903,0.8830315946667057,-2.6109887112649433,23.590504045567645,39.64979755763576,0.5949716139477385,2938.5160508312724,1.6807524536588039,4.175098177232189,266.5659781282846,0.4264705882352941,0.4393939393939394,0.5862068965517241,0.04,50.05181347150261,50.05962173422813,50.04379678520645,40.909090909090914,0.4033338526250195,0.5966661473749805,14.981997697769819,18.22229561388001,0.6451153976510501,0.3548846023489498,31.846351051482763,23.62025340819232,0.5819033235423452,0.4180966764576547,24.886244496812466,21.094648948333454,0.7052148054544698,1.5281286507249972,0.9109605095123257,1.1739364309374651,-0.8524874830191322,-1.1210115520283228,-0.32790982859959167,0.00032055167869792905,0.12318305730629281,,,,,,,,,,0.3991344410963755,2.6026896854443837,5.146666246382147,1.5310424416415491,1.3259553252802778,1.0434117693276048,1.25975361525139,1.9857919605987657,1.9888230224568668,4.89529634195974,0.9847366360846136
high4.csv,LL_LA,74.55598613555237,805.0321691176471,32.772394742781046,,,,,,,33.57316842840517,33.82654167505023,0.0407094225547547,0.041704132724538115,807.6171875,36.1962890625,0.044818621523579204,51.7578125,0.9761484029327833,771.484375,832.03125,10.294117647058822,64.70588235294117,742.1875,875.0,9.714285714285714,117.1875,,,0.008652888283967122,0.07342642128108023,0.0007212213480296614,0.08280053091307701,0.11784434176416424,0.10450281161905614,0.8867868414776519,-2.611471445175293,23.91897700251737,40.08944198854846,0.5966403076737716,3012.468297683287,1.6760516967063106,4.1858925951833355,268.7679090596634,0.4117647058823529,0.42424242424242425,0.5714285714285714,0.0,50.05065856129688,50.05792431816186,50.04317580635258,40.909090909090914,0.4065262413496994,0.5934737586503007,15.250604457407182,18.42652858957254,0.6382593847632251,0.3617406152367749,32.02791121349412,24.11174531745326,0.5774234199290316,0.4225765800709686,25.083540749022557,21.458252702818832,0.7053698554854699,1.408717525681531,0.8927730016158517,1.105288536195584,-0.7451426441690643,-0.9809884830709414,-0.3491425493716931,0.0001681219495127287,0.09586139661264191,,,,,,,,,,0.35295984744403075,2.0794415416798357,5.24894004700543,1.5217745940846437,1.016137510460968,0.9438267466893242,1.0789817827253791,1.914707252724867,1.9941340241406453,4.8588343745527665,0.9847366360846136
high4.csv,LL_RA,74.55643546723518,805.0321691176471,32.657531048834365,,,,,,,33.455097741456264,33.707541442067914,0.04056674043799833,0.04155746692473745,806.640625,36.1962890625,0.044872881355932204,51.7578125,0.9761600848162046,772.265625,832.03125,10.294117647058822,63.23529411764706,742.1875,875.0,9.714285714285714,117.1875,,,0.008677528586082929,0.07331367990642591,0.0006819183272727121,0.08267312681978156,0.11836165633969695,0.10496190140478173,0.8867897311570394,-2.613008058492655,23.8348311308128,39.95241491220549,0.5965804866411527,2991.6100756944597,1.6762197597681516,4.1828750972124595,267.87610930517843,0.4411764705882353,0.4461538461538462,0.6206896551724138,0.04,50.10204081632656,50.10920896911005,50.09458667546035,41.53846153846154,0.407111608505443,0.5928883914945569,15.207908184210288,18.352668171730834,0.6400836391868516,0.35991636081314826,31.964020353719565,23.968664129317272,0.5789313760415961,0.4210686239584037,25.02977295654486,21.346162291682344,0.7047467348250517,1.4571735408345021,0.897197164503998,1.1426131347994273,-0.830120590771088,-1.106428439212896,-0.3315808217634235,0.00022427598744414437,0.10659908373459054,,,,,,,,,,0.3395973657745208,2.3513752571634776,5.153495561774943,1.5286535460753388,1.1222336486395597,0.9587621064709388,1.1526205747718856,2.026382466349384,1.9933449767087534,4.984813001032108,0.9847366360846136
high4.csv,Vx_RL,74.55484188247858,805.0034466911765,32.43126924519234,,,,,,,33.13618141728278,33.38625643380232,0.04028711849433106,0.041162782039608846,806.640625,33.300585937499996,0.04128305084745762,51.7578125,0.9787268133520425,771.484375,831.25,10.294117647058822,63.23529411764706,744.140625,875.0,8.5,101.5625,,,0.010574451151326249,0.06463104321149517,0.0009960432396776174,0.07620153760249904,0.1636125710786221,0.138769524658246,0.8481593055069218,-2.739060438548802,23.60764832277462,39.717187199448695,0.5943937621821898,2945.6495964219207,1.6823864307201233,4.176151193476099,267.27862724289383,0.4264705882352941,0.43076923076923074,0.5714285714285714,0.0,49.94829369183042,49.95665575847017,49.93985991206785,40.0,0.39880736323567534,0.6011926367643246,14.908518174723966,18.304578020194725,0.639208180226982,0.36079181977301783,31.754088142402438,23.856505303178597,0.5764472566177817,0.4235527433822181,24.8051005634077,21.262530679319248,0.7047748485013313,1.4345807999223754,0.9001589393942,1.111537361791312,-0.716709404877415,-0.9378320331443413,-0.35265492023276096,0.00020430915989756184,0.10215666502659568,,,,,,,,,,0.3660916020206497,2.120263536200091,5.155344047349543,1.5046568045638629,1.1816794726293487,0.8913623537870433,1.0540564953701435,1.9386619510613874,1.9900030510843907,4.907124710693333,0.9847366360846136
high5.csv,LA_RA,79.02369263335333,759.46044921875,28.372313348586093,,,,,,,25.71290808053584,25.916256688632483,0.03735851337324074,0.03385680993261265,753.90625,24.613476562499997,0.03264792746113989,37.109375,1.103426857036967,737.5,785.15625,3.125,48.4375,705.078125,828.125,5.333333333333333,62.5,,,0.018994483497395364,0.056906089652486676,0.000251571146881757,0.0761521442967638,0.33378648249054915,0.2494280846954767,0.7472683819739135,-2.8663529198069493,18.325560847503247,35.951039620489205,0.5097366040301975,2069.7533840211095,1.9617975089361224,4.022888711293408,282.11463988455824,0.375,0.3968253968253968,0.48,0.0,50.9116409537167,50.9292145021523,50.89314842338616,38.095238095238095,0.38016301859144624,0.6198369814085539,11.3004454485458,14.42943650503451,0.6405132735542313,0.35948672644576857,28.77236233366868,21.555241022407294,0.5868073835148142,0.4131926164851856,21.858052310252575,18.34171547847819,0.7897154795189423,0.707166296278035,0.8815683907906791,1.031355887711523,-0.0009620427584993152,-0.7308788425045574,-0.2881863181132825,5.2097332208912336e-05,0.025474566092480864,,,,,,,,,,0.43460071045350634,2.4423470353692047,5.066024413893481,1.2779919988318662,1.0970642961061294,0.0,0.0,1.9619001595591727,1.9144364974157688,2.9545392413625033,0.9375
high5.csv,LL_LA,79.01997839502584,759.490966796875,28.651893271991025,,,,,,,26.122920114243332,26.330075675729564,0.037725127124064846,0.0343953006109023,753.90625,27.509179687499998,0.03648886010362694,38.0859375,1.0968105076571737,735.546875,785.15625,3.125,50.0,705.078125,828.125,5.818181818181818,62.5,,,0.018994062987501285,0.05898560488298832,0.0002651169962449473,0.07824478486673454,0.32201183704363856,0.24275180793009676,0.7538598896201427,-2.8304618498797045,18.618175059463336,36.26768429694198,0.513354393046627,2121.323039435652,1.9479720316899516,4.033576918771446,282.59373865841525,0.375,0.3968253968253968,0.48,0.0,50.82191780821918,50.836909817077554,50.806053836134566,38.095238095238095,0.38216503992901507,0.6178349600709849,11.510829796553189,14.63583126917956,0.6420330542682557,0.35796694573174415,29.060194754003255,21.69907843946498,0.5878241520790256,0.41217584792097445,22.101969615238083,18.50753308874454,0.7822697554642587,0.6821393614495599,0.8697637018467976,1.0041865553451392,0.045357595720160404,-0.6619399389100034,-0.3029393096262759,4.034749293299833e-05,0.022804276687289394,,,,,,,,,,0.3868522216669579,2.3513752571634776,5.283214015923013,1.296785673400608,1.0743213515546977,0.0,0.0,1.873548314582111,1.9165292923155866,3.05371404921405,0.9375
