File,LA_RA_si,LL_LA_si,LL_RA_si,Vx_RL_si
control1.csv,3.1610431187743986,3.118724702341802,3.1489291540885405,3.1809710899501766
end1.csv,3.83665613282976,2.710716345462738,4.621846021584769,3.8774662405376468
high1.csv,6.124472018807622,6.296562789674007,8.20462251173121,6.263888591217468
high2.csv,4.16718642810446,3.7358034040952717,3.7358034040952717,3.7870485466492068
high3.csv,5.312835789338093,4.563867198299286,4.693180807435597,4.424485817412973
high4.csv,5.550521145953709,6.416518734191139,6.551885705854106,5.188312858998158
high5.csv,5.14217977579386,5.033055027311342,5.7990430103419985,5.224272213101876
high6.csv,4.671400626220784,3.3902787196651722,3.3902787196651722,5.234326754839819
intervene1.csv,4.797680900527836,5.951016000889488,4.5884104864789546,5.407758553279985
low1.csv,5.711857719396292,5.5962913176583635,5.674382878435334,5.461580606935962
low2.csv,5.570454219534478,5.475131113101496,5.519108776313025,5.484276250782464
low3.csv,6.2331122903151375,6.410425418852064,5.438168219373355,6.945248142858794
low4.csv,3.6462026787576285,3.687581914859546,3.700453095057532,3.753868806857826
low5.csv,4.954941831288088,5.729715319688918,4.9008164395119325,6.348320763547644
low6.csv,4.9274523441062374,3.6493312223269,4.4191824324728035,4.339357042003359
mid1.csv,7.459531721468852,6.368868629616343,6.482640187686617,6.275150681284347
mid2.csv,4.830532624037206,4.923734769976771,5.059587435049892,4.2702662785439545
mid3.csv,3.9896755277017695,4.166850790995557,3.5783815210326235,5.176832620219684
mid4.csv,4.3927330491599035,4.416335788500682,4.433553537184295,3.60879583750715
mid5.csv,4.172292798934718,4.84748297125153,4.111073946974916,3.2969111160116356
mid6.csv,4.56793404022242,4.601151084690786,4.635582186169795,5.241935544994191
start1.csv,5.468444114576175,5.502809728256054,6.024947213222911,5.039409134390401
