File,ppg_si
control1.csv,2.269846086822108
end1.csv,5.408987230262506
high1.csv,9.815839666923399
high2.csv,8.72276832814569
high3.csv,7.236544080262511
high4.csv,5.699029518842304
high5.csv,5.90168890850654
intervene1.csv,4.925708880989115
low1.csv,6.193777266951927
low2.csv,5.463902214100085
low3.csv,6.718257677842918
low4.csv,7.009096680875437
low5.csv,6.796726323885972
mid1.csv,7.021828928755114
mid2.csv,7.293476893416829
mid3.csv,7.489030631741765
mid4.csv,7.468287564692202
mid5.csv,12.453456281706643
start1.csv,4.045909598365307
