File,ppg_si
end1.csv,11.034892802386597
high1.csv,8.303988737722912
high2.csv,9.187805538283829
high3.csv,10.226230769467259
high4.csv,10.90135121963908
high5.csv,8.729020058807933
high6.csv,12.290571834880947
low1.csv,13.612319350325208
low2.csv,13.046968100803214
low3.csv,10.817974460525011
low4.csv,10.348186668216874
low5.csv,13.981283744114414
low6.csv,8.6102117631528
mid1.csv,11.102660401717326
mid2.csv,8.870187483289211
mid3.csv,7.8871971257372095
mid4.csv,11.595889205431659
mid5.csv,12.963063898670933
mid6.csv,8.961792537779262
start1.csv,8.871039153327791
