File,LA_RA_rr,LL_LA_rr,LL_RA_rr,Vx_RL_rr
end1.csv,14.83791895947974,14.83791895947974,14.83791895947974,14.83791895947974
high1.csv,16.274137068534266,15.925962981490747,15.925962981490747,15.925962981490747
high2.csv,9.484742371185593,14.707353676838418,9.484742371185593,9.484742371185593
high3.csv,15.708354177088543,15.708354177088543,15.708354177088543,15.708354177088543
high4.csv,14.88144072036018,14.88144072036018,14.88144072036018,14.88144072036018
high5.csv,15.490745372686343,15.490745372686343,15.490745372686343,15.490745372686343
high6.csv,13.793396698349174,13.836918459229615,13.793396698349174,15.31665832916458
high7.csv,14.359179589794897,14.359179589794897,14.359179589794897,14.446223111555778
low1.csv,14.141570785392695,14.098049024512257,14.141570785392695,14.141570785392695
low2.csv,14.359179589794897,14.359179589794897,14.359179589794897,14.359179589794897
low3.csv,16.491745872936466,16.491745872936466,16.491745872936466,16.491745872936466
low4.csv,14.011005502751377,14.446223111555778,14.446223111555778,14.446223111555778
low5.csv,15.186093046523263,15.447223611805903,15.447223611805903,15.447223611805903
low6.csv,16.36118059029515,16.317658829414707,16.36118059029515,16.317658829414707
mid1.csv,9.00600300150075,14.141570785392695,14.141570785392695,14.141570785392695
mid2.csv,12.618309154577288,12.618309154577288,12.618309154577288,12.618309154577288
mid3.csv,15.534267133566782,15.447223611805903,15.447223611805903,15.447223611805903
mid4.csv,16.187093546773387,16.187093546773387,16.187093546773387,16.187093546773387
mid5.csv,15.925962981490747,15.925962981490747,15.882441220610303,15.882441220610303
start1.csv,13.880440220110055,13.880440220110055,13.880440220110055,13.880440220110055
