File,LA_RA_si,LL_LA_si,LL_RA_si,Vx_RL_si
control1.csv,2.3606303987122477,2.3903154979695853,2.3903154979695853,2.7861132917780633
end1.csv,3.6265502931015843,3.648011919898422,3.6131927880718786,4.078601317811195
high1.csv,5.218987870204841,6.825152560764704,6.088711501910203,5.218987870204841
high2.csv,4.996151603372718,4.11060047481534,5.020045338919071,5.020045338919071
high3.csv,3.7708454359867503,3.7408514917840403,4.3541972550788435,3.8247998504772216
high4.csv,6.269150153330579,5.357536447566911,5.383809495904463,6.2166877234522095
high5.csv,5.322532896463073,5.322532896463073,4.60538930002723,5.322532896463073
intervene1.csv,5.094457253564451,4.6993949831474495,4.6993949831474495,3.8972140738091623
low1.csv,7.0040161489816635,6.0775377190714135,5.264938062619023,6.862506286087329
low2.csv,5.5035313254693925,6.692953415884827,6.692953415884827,6.650449988144529
low3.csv,4.586502805633301,3.7310451262602857,3.7494701525186414,3.7005039976131044
low4.csv,6.94317023152928,6.889183639513544,6.889183639513544,5.624994887046037
low5.csv,7.146148898240689,6.085952944750707,7.0336040867010015,6.091279819245113
mid1.csv,4.196791803733038,4.231983098447931,4.231983098447931,4.211389384516629
mid2.csv,4.112151352242645,4.284031361151435,4.131686623019024,4.131686623019024
mid3.csv,4.982015831487303,5.018514603912019,5.023001430560504,5.752736362832343
mid4.csv,4.154694661306394,4.744280748224395,4.122666558840328,4.760445295051063
mid5.csv,2.8843115954255483,2.8843115954255483,3.56798670188747,3.830035718569119
start1.csv,3.423798251499168,3.3936320401140434,3.4194177113053823,3.3788449020602096
