File,ppg_si
end1.csv,13.96834359169056
high1.csv,16.52472894381831
high2.csv,19.820108712720096
high3.csv,15.175881858425182
high4.csv,19.602880428874272
high5.csv,8.840017412826661
high6.csv,16.894837675150548
high7.csv,15.247957952771579
low1.csv,14.416340270942934
low2.csv,20.65783257051978
low3.csv,14.645886147680455
low4.csv,12.31947953103022
low5.csv,16.563113964048142
low6.csv,20.39856826597365
mid1.csv,23.708160190964673
mid2.csv,19.242138316872417
mid3.csv,16.738104990910127
mid4.csv,17.047735250227888
mid5.csv,17.3120569856147
start1.csv,14.909951327060236
