File,LA_RA_rr,LL_LA_rr,LL_RA_rr,Vx_RL_rr
control1.csv,18.145572786393195,16.839919959979987,18.580790395197596,13.619309654827415
end1.csv,17.536268134067033,17.492746373186595,20.75687843921961,10.703351675837919
high1.csv,17.36218109054527,11.834917458729365,14.272136068034017,23.977488744372184
high2.csv,14.185092546273134,9.180090045022512,22.193096548274134,9.223611805902953
high3.csv,17.797398699349674,21.279139569784892,17.884442221110557,15.403701850925463
high4.csv,16.056528264132066,20.365182591295646,23.15057528764382,12.139569784892446
high5.csv,16.70935467733867,15.490745372686343,20.713356678339167,13.401700850425211
intervene1.csv,14.5767883941971,12.96648324162081,23.933966983491743,21.192096048024013
low1.csv,15.882441220610303,15.534267133566782,14.968484242121061,15.751875937968986
low2.csv,15.534267133566782,15.838919459729864,23.4552276138069,15.31665832916458
low3.csv,16.75287643821911,10.659829914957479,23.281140570285142,16.57878939469735
low4.csv,13.706353176588294,23.977488744372184,20.88744372186093,13.923961980990494
low5.csv,16.100050025012504,11.182091045522762,16.491745872936466,22.584792396198097
mid1.csv,20.408704352176088,16.491745872936466,11.965482741370685,13.706353176588294
mid2.csv,14.489744872436217,12.661830915457731,14.88144072036018,14.185092546273134
mid3.csv,14.663831915957978,13.271135567783892,23.759879939969984,14.83791895947974
mid4.csv,16.013006503251624,16.187093546773387,23.977488744372184,16.317658829414707
mid5.csv,14.489744872436217,12.531265632816408,12.357178589294648,14.83791895947974
start1.csv,16.883441720860432,16.883441720860432,18.841920960480238,13.314657328664332
