File,ppg_si
control1.csv,8.796264099123833
end1.csv,8.783767451220411
high1.csv,9.768342306681898
high2.csv,9.286096001408149
high3.csv,16.224464274583305
high4.csv,13.243347849612427
high5.csv,17.535891979238112
intervene1.csv,8.250912817795967
low1.csv,9.205893793540865
low2.csv,10.95578860827937
low3.csv,14.532012146085052
low4.csv,13.132522906689973
low5.csv,6.769739332453697
mid1.csv,11.525764323603154
mid2.csv,5.242595630685044
mid3.csv,12.607625440891793
mid4.csv,4.354648431614539
mid5.csv,9.712186326962646
start1.csv,8.979539284894736
