File,ppg_rr
control1.csv,21.931965982991496
end1.csv,14.141570785392695
high1.csv,16.100050025012504
high2.csv,16.100050025012504
high3.csv,17.275137568784395
high4.csv,17.275137568784395
high5.csv,15.229614807403703
high6.csv,16.404702351175587
intervene1.csv,12.574787393696848
low1.csv,16.75287643821911
low2.csv,14.402701350675338
low3.csv,15.490745372686343
low4.csv,13.18409204602301
low5.csv,15.27313656828414
low6.csv,15.403701850925463
mid1.csv,16.36118059029515
mid2.csv,14.359179589794897
mid3.csv,14.750875437718857
mid4.csv,16.75287643821911
mid5.csv,14.402701350675338
mid6.csv,14.750875437718857
start1.csv,15.360180090045024
