File,LA_RA_si,LL_LA_si,LL_RA_si,Vx_RL_si
end1.csv,14.52109812866406,15.515151515151516,16.758278977701135,13.89888741882632
high1.csv,17.097205878042995,17.61542024202177,17.61542024202177,19.393939393939394
high2.csv,12.527364682980341,14.13178898001662,14.13178898001662,13.278336940575512
high3.csv,14.124658108079847,13.076892378875662,14.100029217314933,11.895992979879214
high4.csv,5.468063630995857,5.486568129337108,5.458881317831939,5.7763238514547455
high5.csv,10.454914146016973,10.685582606115533,10.685582606115533,10.685582606115533
high6.csv,15.611239488598244,14.364705517858072,12.892717769936686,12.681765294968304
high7.csv,12.137609693355,11.597223164154835,11.597223164154835,13.035613440039597
low1.csv,10.752372307336824,13.38356920580032,12.807907321203189,11.633359540886607
low2.csv,14.805357429072156,14.954658927632673,15.306581404462404,15.72951679424671
low3.csv,16.370280905124897,16.370280905124897,15.2868418916773,15.948472642069719
low4.csv,14.251723914597267,16.45988996412564,16.45988996412564,15.013751798261548
low5.csv,13.459193034869408,13.888288466219304,14.56615982931027,15.18830969825545
low6.csv,12.57146928545653,12.549924335114984,13.631540289380212,14.723746322562132
mid1.csv,13.695421645996118,6.8506328247623625,14.273539641396496,8.891967721747463
mid2.csv,17.685332591931047,17.626085080050448,19.119390504457424,17.187053931314946
mid3.csv,18.284781412500624,17.84411951430734,18.42932738843923,15.631857182875983
mid4.csv,20.691865795634033,18.921996671650643,19.810953222796194,18.325024358211447
mid5.csv,13.629366719998718,13.869957961550782,13.869957961550782,13.676938825266573
start1.csv,10.323432517913382,10.827307368275022,10.45167883288179,10.827307368275022
