File,ppg_rr
control1.csv,16.92696348174087
end1.csv,16.491745872936466
high1.csv,16.883441720860432
high2.csv,17.536268134067033
high3.csv,17.36218109054527
high4.csv,16.70935467733867
high5.csv,16.187093546773387
high6.csv,17.579789894947474
high7.csv,17.36218109054527
intervene1.csv,15.882441220610303
low1.csv,14.88144072036018
low2.csv,14.83791895947974
low3.csv,16.491745872936466
low4.csv,15.708354177088543
low5.csv,15.795397698849424
low6.csv,17.18809404702351
mid1.csv,23.542271135567784
mid2.csv,16.70935467733867
mid3.csv,16.187093546773387
mid4.csv,16.36118059029515
mid5.csv,15.534267133566782
start1.csv,15.27313656828414
