File,ppg_rr
end1.csv,9.789394697348675
high1.csv,9.397698849424712
high2.csv,10.442221110555277
high3.csv,18.145572786393195
high4.csv,23.19409704852426
high5.csv,11.05152576288144
high6.csv,18.580790395197596
low1.csv,18.189094547273637
low2.csv,23.498749374687343
low3.csv,9.00600300150075
low4.csv,14.446223111555778
low5.csv,20.75687843921961
low6.csv,11.05152576288144
mid1.csv,17.36218109054527
mid2.csv,9.00600300150075
mid3.csv,9.267133566783393
mid4.csv,11.747873936968485
mid5.csv,20.713356678339167
mid6.csv,10.050525262631316
start1.csv,13.271135567783892
